GeographyKey,GeographyLevel,GeographyName,CountryCode,CountryName,RegionCode,RegionName,OldLocalAuthorityCode,LocalAuthorityCode,LocalAuthorityName,GeographyLevelSort,MapLocation,AreaLabel
NAT|E92000001,National,England,E92000001,England,,,,,,1,England,England
REG|E12000004,Regional,East Midlands,E92000001,England,E12000004,East Midlands,,,,2,"East Midlands, England",East Midlands
REG|E12000006,Regional,East of England,E92000001,England,E12000006,East of England,,,,2,"East of England, England",East of England
REG|E12000007,Regional,London,E92000001,England,E12000007,London,,,,2,"London, England",London
REG|E12000001,Regional,North East,E92000001,England,E12000001,North East,,,,2,"North East, England",North East
REG|E12000002,Regional,North West,E92000001,England,E12000002,North West,,,,2,"North West, England",North West
REG|E12000008,Regional,South East,E92000001,England,E12000008,South East,,,,2,"South East, England",South East
REG|E12000009,Regional,South West,E92000001,England,E12000009,South West,,,,2,"South West, England",South West
REG|E12000005,Regional,West Midlands,E92000001,England,E12000005,West Midlands,,,,2,"West Midlands, England",West Midlands
REG|E12000003,Regional,Yorkshire and The Humber,E92000001,England,E12000003,Yorkshire and The Humber,,,,2,"Yorkshire and The Humber, England",Yorkshire and The Humber
LA|E06000015,Local authority,Derby,E92000001,England,E12000004,East Midlands,831,E06000015,Derby,3,"Derby, England",Derby (East Midlands)
LA|E10000007,Local authority,Derbyshire,E92000001,England,E12000004,East Midlands,830,E10000007,Derbyshire,3,"Derbyshire, England",Derbyshire (East Midlands)
LA|E06000016,Local authority,Leicester,E92000001,England,E12000004,East Midlands,856,E06000016,Leicester,3,"Leicester, England",Leicester (East Midlands)
LA|E10000018,Local authority,Leicestershire,E92000001,England,E12000004,East Midlands,855,E10000018,Leicestershire,3,"Leicestershire, England",Leicestershire (East Midlands)
LA|E10000019,Local authority,Lincolnshire,E92000001,England,E12000004,East Midlands,925,E10000019,Lincolnshire,3,"Lincolnshire, England",Lincolnshire (East Midlands)
LA|E06000061,Local authority,North Northamptonshire,E92000001,England,E12000004,East Midlands,940,E06000061,North Northamptonshire,3,"North Northamptonshire, England",North Northamptonshire (East Midlands)
LA|E10000021,Local authority,Northamptonshire,E92000001,England,E12000004,East Midlands,928,E10000021,Northamptonshire,3,"Northamptonshire, England",Northamptonshire (East Midlands)
LA|E06000018,Local authority,Nottingham,E92000001,England,E12000004,East Midlands,892,E06000018,Nottingham,3,"Nottingham, England",Nottingham (East Midlands)
LA|E10000024,Local authority,Nottinghamshire,E92000001,England,E12000004,East Midlands,891,E10000024,Nottinghamshire,3,"Nottinghamshire, England",Nottinghamshire (East Midlands)
LA|E06000017,Local authority,Rutland,E92000001,England,E12000004,East Midlands,857,E06000017,Rutland,3,"Rutland, England",Rutland (East Midlands)
LA|E06000062,Local authority,West Northamptonshire,E92000001,England,E12000004,East Midlands,941,E06000062,West Northamptonshire,3,"West Northamptonshire, England",West Northamptonshire (East Midlands)
LA|E06000055,Local authority,Bedford,E92000001,England,E12000006,East of England,822,E06000055,Bedford,3,"Bedford, England",Bedford (East of England)
LA|E10000001,Local authority,Bedfordshire,E92000001,England,E12000006,East of England,x,E10000001,Bedfordshire,3,"Bedfordshire, England",Bedfordshire (East of England)
LA|E10000003,Local authority,Cambridgeshire,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,3,"Cambridgeshire, England",Cambridgeshire (East of England)
LA|E06000056,Local authority,Central Bedfordshire,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,3,"Central Bedfordshire, England",Central Bedfordshire (East of England)
LA|E10000012,Local authority,Essex,E92000001,England,E12000006,East of England,881,E10000012,Essex,3,"Essex, England",Essex (East of England)
LA|E10000015,Local authority,Hertfordshire,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,3,"Hertfordshire, England",Hertfordshire (East of England)
LA|E06000032,Local authority,Luton,E92000001,England,E12000006,East of England,821,E06000032,Luton,3,"Luton, England",Luton (East of England)
LA|E10000020,Local authority,Norfolk,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,3,"Norfolk, England",Norfolk (East of England)
LA|E06000031,Local authority,Peterborough,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,3,"Peterborough, England",Peterborough (East of England)
LA|E06000033,Local authority,Southend-on-Sea,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,3,"Southend-on-Sea, England",Southend-on-Sea (East of England)
LA|E10000029,Local authority,Suffolk,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,3,"Suffolk, England",Suffolk (East of England)
LA|E06000034,Local authority,Thurrock,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,3,"Thurrock, England",Thurrock (East of England)
