AcademicYearKey,AcademicYearSort,YearBreakdown,GeographyKey,SchoolTypeKey,EducationPhase,NumSchools,Enrolments,SessionsPossible,OverallAbsenceSessions,AuthorisedAbsenceSessions,UnauthorisedAbsenceSessions,OverallAbsenceRateSource,AuthorisedAbsenceRateSource,UnauthorisedAbsenceRateSource,AttendanceRateSource,PersistentAbsentees,PersistentAbsenceRateSource,SevereAbsentees,SevereAbsenceRateSource,IllnessAbsenceRateSource,AppointmentsAbsenceRateSource,UnauthorisedHolidayAbsenceRateSource
2009/10,2009,Five half terms,LA|E08000029,State-funded primary,State-funded primary,64,15103,4481933,222305,200430,21875,0.0496003,0.044719499999999995,0.0048807,0.9503997,1917,0.1269284,36,0.0023836,0.03141345486,0.00234920959,0.00096364671
2009/10,2009,Five half terms,LA|E08000029,State-funded secondary,State-funded secondary,14,15713,4746468,326299,274915,51384,0.0687456,0.0579199,0.0108257,0.9312544,3279,0.2086807,148,0.009419,0.0400023765,0.0043712503699999995,0.0007845834
2009/10,2009,Five half terms,LA|E08000030,State-funded secondary,State-funded secondary,19,17835,5305298,381806,304753,77053,0.0719669,0.0574431,0.0145238,0.9280330999999999,4072,0.22831510000000002,175,0.0098122,0.039624352859999996,0.00473903634,0.00171451255
2009/10,2009,Five half terms,LA|E08000031,State-funded primary,State-funded primary,76,17052,5009402,304961,259730,45231,0.0608777,0.0518485,0.0090292,0.9391223,3418,0.2004457,59,0.0034599999999999995,0.03587374301,0.00205533515,0.00072164302
2009/10,2009,Five half terms,LA|E10000028,State-funded primary,State-funded primary,295,50022,14912021,752885,708855,44030,0.0504885,0.0475358,0.0029527,0.9495115,6528,0.1305026,87,0.0017392,0.032632196530000004,0.0022834597700000002,0.00042442269
2009/10,2009,Five half terms,LA|E06000019,Special,Special,4,200,57973,4496,4050,446,0.07755329999999999,0.06986010000000001,0.0076932,0.9224467000000001,53,0.265,1,0.005,0.04110534214,0.01121211599,0.0
2009/10,2009,Five half terms,LA|E10000034,Total,Total,237,66242,19520886,1120792,961827,158965,0.057415,0.0492717,0.0081433,0.942585,10888,0.16436699999999999,307,0.0046345,0.03520162968,0.00316594237,0.00089135298
2009/10,2009,Five half terms,LA|E06000051,State-funded secondary,State-funded secondary,22,16291,4878878,324617,283422,41195,0.0665352,0.0580916,0.0084435,0.9334648,3282,0.2014609,124,0.0076116,0.0427901661,0.0043926083,0.0007686193400000001
2009/10,2009,Five half terms,LA|E10000031,Special,Special,9,828,244802,23853,21761,2092,0.09743790000000001,0.0888922,0.0085457,0.9025621,222,0.26811589999999996,32,0.0386473,0.048721007180000005,0.01095987778,0.00119280071
2008/09,2008,Five half terms,REG|E12000003,State-funded secondary,State-funded secondary,319,306169,90363555,6879301,5185089,1694212,0.0761292,0.0573803,0.0187488,0.9238708,71707,0.23420729999999998,5076,0.0165791,0.03779490526,0.0040869020700000005,0.00165805783
