TermKey,AcademicYearKey,AcademicYearSort,TermName,TermSort,GeographyKey,SchoolTypeKey,EducationPhase,Enrolments,SessionsPossible,OverallAbsenceSessions,AuthorisedAbsenceSessions,UnauthorisedAbsenceSessions,OverallAbsenceRateSource,AttendanceRateSource,PersistentAbsentees,PersistentAbsenceRateSource,SevereAbsentees,SevereAbsenceRateSource
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000008,Special,Special,209,29789,3168,2580,588,0.106348,0.893652,63,0.3014354,12,0.057416299999999997
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000008,State-funded primary,State-funded primary,13191,1843147,66571,47393,19178,0.0361181,0.9638819,1226,0.09294219999999999,83,0.0062922
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E10000006,Total,Total,57630,8286969,372050,292923,79127,0.0448958,0.9551042,6692,0.1161201,358,0.006212
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E08000016,State-funded primary,State-funded primary,17151,2442862,101613,64092,37521,0.0415959,0.9584041,1978,0.11532859999999999,83,0.0048394
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E08000033,State-funded primary,State-funded primary,16542,2359508,80892,61044,19848,0.0342834,0.9657166,1374,0.08306129999999999,36,0.0021763
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E08000035,State-funded secondary,State-funded secondary,42662,6005258,312170,176350,135820,0.051982799999999996,0.9480172,5743,0.1346163,591,0.0138531
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000010,Total,Total,34551,4939281,227132,145383,81749,0.045984800000000006,0.9540152,4414,0.1277532,219,0.0063385
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000011,State-funded primary,State-funded primary,21384,3097203,111901,83864,28037,0.0361297,0.9638703,1834,0.08576510000000001,64,0.0029929
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000011,State-funded secondary,State-funded secondary,17217,2429996,119328,92130,27198,0.049106300000000006,0.9508937,2295,0.13329850000000001,163,0.0094674
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000012,Total,Total,20632,2910037,133838,81469,52369,0.0459919,0.9540081,2628,0.12737500000000002,170,0.0082396
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E10000023,State-funded primary,State-funded primary,37624,5412439,200411,162931,37480,0.037027899999999996,0.9629721,3440,0.091431,110,0.0029237
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E10000007,State-funded secondary,State-funded secondary,38593,5465952,275109,198610,76499,0.050331400000000005,0.9496686,4854,0.1257741,452,0.011712
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E10000007,Total,Total,91453,12993756,552959,419859,133100,0.042555699999999995,0.9574443,9613,0.1051141,662,0.0072387
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000015,Special,Special,661,83849,7928,6029,1899,0.09455090000000001,0.9054491,197,0.2980333,31,0.046898600000000006
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E06000016,State-funded primary,State-funded primary,29304,4349519,179711,118187,61524,0.0413174,0.9586826,3289,0.1122372,185,0.0063131
2018/19|Autumn term,2018/19,2018,Autumn term,1,LA|E10000024,Special,Special,876,121963,12256,10267,1989,0.1004895,0.8995105,254,0.2899543,32,0.0365297
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000004,State-funded secondary,State-funded secondary,16906,2270111,139062,77655,61407,0.0612578,0.9387422,3011,0.1781024,373,0.022063199999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000005,Special,Special,509,70559,10293,7469,2824,0.1458779,0.8541221,200,0.3929273,49,0.09626720000000001
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000005,Total,Total,32824,4488610,219814,131333,88481,0.0489715,0.9510285,4669,0.1422435,427,0.013008800000000001
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000006,Special,Special,678,91175,12107,8478,3629,0.1327886,0.8672114,253,0.3731563,46,0.06784659999999999
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000007,State-funded secondary,State-funded secondary,14311,1943801,102935,73326,29609,0.0529555,0.9470445,2178,0.1521906,232,0.016211299999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000009,Special,Special,727,100248,10137,6961,3176,0.10111919999999999,0.8988808,166,0.22833559999999997,43,0.0591472
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000010,Special,Special,714,102200,13028,8550,4478,0.1274755,0.8725245,219,0.3067227,57,0.0798319
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000006,Special,Special,314,43617,4517,3819,698,0.1035605,0.8964395000000001,89,0.2834395,17,0.054140100000000003
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000006,Total,Total,17366,2392107,113961,78267,35694,0.0476404,0.9523596,2378,0.1369342,210,0.0120926
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E10000017,Total,Total,154726,21536715,965286,745664,219622,0.0448205,0.9551795,19201,0.1240968,1906,0.012318599999999999
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000008,Special,Special,237,33752,3000,2181,819,0.08888360000000001,0.9111164,54,0.2278481,10,0.0421941
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000008,State-funded secondary,State-funded secondary,11018,1467184,86410,61744,24666,0.0588951,0.9411049,1980,0.1797059,201,0.0182429
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000009,Special,Special,433,61022,3541,2645,896,0.058028300000000005,0.9419717,71,0.16397230000000002,6,0.0138568
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000009,State-funded primary,State-funded primary,9783,1342155,50007,27452,22555,0.0372587,0.9627413,1010,0.10324030000000001,75,0.0076664
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000049,Total,Total,46712,6487215,279706,217900,61806,0.0431165,0.9568835,5295,0.11335419999999999,549,0.0117529
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000016,State-funded primary,State-funded primary,17220,2413227,81808,53346,28462,0.0338998,0.9661002,1494,0.08675959999999999,144,0.008362399999999999
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000017,Total,Total,39936,5436614,287841,177834,110007,0.052944899999999996,0.9470551,5848,0.14643430000000002,810,0.0202825
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000018,Total,Total,37877,5177925,251315,161361,89954,0.04853589999999999,0.9514641,5188,0.1369697,606,0.0159992
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000019,Special,Special,1396,165629,23012,16786,6226,0.138937,0.861063,445,0.3187679,126,0.0902579
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000019,State-funded secondary,State-funded secondary,30060,4100575,271214,125184,146030,0.06614049999999999,0.9338595000000001,5546,0.18449770000000001,832,0.027677999999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000019,Total,Total,69534,9571640,519458,272986,246472,0.054270500000000006,0.9457295,10538,0.1515518,1518,0.021831
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000033,State-funded secondary,State-funded secondary,14873,1936671,114828,71105,43723,0.0592914,0.9407086,2614,0.17575469999999999,271,0.018220899999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000035,State-funded primary,State-funded primary,59454,7887233,272396,178740,93656,0.0345363,0.9654637,5725,0.09629289999999999,492,0.0082753
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E08000035,Total,Total,106832,14043675,650628,391404,259224,0.0463289,0.9536711,13907,0.1301764,1650,0.015444800000000002
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000011,State-funded secondary,State-funded secondary,17714,2321546,124047,93652,30395,0.0534329,0.9465671,2682,0.1514057,230,0.0129841
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000012,State-funded secondary,State-funded secondary,8937,1189611,82825,44790,38035,0.06962360000000001,0.9303764,1874,0.20969010000000002,220,0.024616799999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000014,Total,Total,21680,2890865,112756,85445,27311,0.0390042,0.9609958,2120,0.09778600000000001,202,0.009317299999999999
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E10000007,Special,Special,846,111797,11906,9408,2498,0.10649660000000001,0.8935034,259,0.3061466,39,0.0460993
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E10000007,State-funded primary,State-funded primary,51169,7060032,217608,171238,46370,0.030822500000000003,0.9691775,3910,0.0764135,334,0.0065274
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000016,State-funded secondary,State-funded secondary,21286,3066590,158362,95433,62929,0.0516411,0.9483589,3037,0.1426759,347,0.016301799999999998
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000017,Total,Total,5252,688202,21309,18088,3221,0.0309633,0.9690367,368,0.0700685,26,0.0049505
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E10000024,Special,Special,959,122835,10550,8604,1946,0.08588760000000001,0.9141124,227,0.2367049,36,0.0375391
2020/21|Autumn term,2020/21,2020,Autumn term,1,LA|E06000018,State-funded secondary,State-funded secondary,16632,2114075,137772,76416,61356,0.0651689,0.9348311,3070,0.18458390000000002,396,0.023809499999999997
