time_period,time_identifier,geographic_level,country_code,country_name,education_phase,fsm,ethnicity_minor,enrolments,sess_possible,sess_overall,sess_overall_percent,enrolments_pa_10_exact,enrolments_pa_10_exact_percent,enrolments_pa_50_exact,enrolments_pa_50_exact_percent,sess_possible_pa_10_exact,sess_overall_pa_10_exact
202425,Academic year,National,E92000001,England,Special,FSM eligible,African,3527,1249693,116876,9.35238,986,27.95577,106,3.00539,339674,79692
202425,Academic year,National,E92000001,England,Special,FSM not eligible,African,3266,1146725,96068,8.3776,760,23.27006,103,3.1537,254823,62745
202425,Academic year,National,E92000001,England,Special,FSM unclassified,African,43,479,251,52.40084,22,51.16279,21,48.83721,279,249
202425,Academic year,National,E92000001,England,Special,Total,African,6836,2396897,213195,8.89463,1768,25.86308,230,3.36454,594776,142686
202425,Academic year,National,E92000001,England,Special,FSM eligible,Any other Asian background,956,341082,38976,11.42716,344,35.98326,31,3.24268,122613,28830
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Any other Asian background,2042,730245,76314,10.45047,650,31.83154,75,3.67287,228483,53862
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Any other Asian background,10,192,99,51.5625,5,50,5,50,98,98
202425,Academic year,National,E92000001,England,Special,Total,Any other Asian background,3008,1071519,115389,10.76873,999,33.21144,111,3.69016,351194,82790
202425,Academic year,National,E92000001,England,Special,FSM eligible,Any other Black / African / Caribbean background,887,313062,33179,10.59822,281,31.67982,38,4.2841,97417,24585
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Any other Black / African / Caribbean background,756,262782,22550,8.58126,183,24.20635,25,3.30688,61156,15226
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Any other Black / African / Caribbean background,9,269,41,15.24164,4,44.44444,1,11.11111,153,39
202425,Academic year,National,E92000001,England,Special,Total,Any other Black / African / Caribbean background,1652,576113,55770,9.68039,468,28.3293,64,3.87409,158726,39850
202425,Academic year,National,E92000001,England,Special,FSM eligible,Any other ethnic group,1467,517109,60705,11.7393,559,38.10498,59,4.02181,190510,45168
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Any other ethnic group,1425,504485,56017,11.1038,487,34.17544,56,3.92982,166728,41094
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Any other ethnic group,17,312,134,42.94872,7,41.17647,6,35.29412,216,134
202425,Academic year,National,E92000001,England,Special,Total,Any other ethnic group,2909,1021906,116856,11.4351,1053,36.19801,121,4.1595,357454,86396
202425,Academic year,National,E92000001,England,Special,FSM eligible,Any other Mixed / Multiple ethnic background,2098,738952,110854,15.00152,937,44.66158,167,7.95996,321280,91852
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Any other Mixed / Multiple ethnic background,2113,752891,79460,10.55398,622,29.43682,91,4.30667,216354,57169
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Any other Mixed / Multiple ethnic background,20,441,286,64.85261,13,65,12,60,344,286
202425,Academic year,National,E92000001,England,Special,Total,Any other Mixed / Multiple ethnic background,4231,1492284,190600,12.77237,1572,37.15434,270,6.38147,537978,149307
202425,Academic year,National,E92000001,England,Special,FSM eligible,Any other White background,2323,821069,109164,13.29535,932,40.12053,133,5.72536,322452,86225
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Any other White background,4067,1439546,147762,10.26449,1192,29.30907,165,4.05704,407930,102246
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Any other White background,36,871,633,72.67509,23,63.88889,21,58.33333,745,630
202425,Academic year,National,E92000001,England,Special,Total,Any other White background,6426,2261486,257559,11.38893,2147,33.41114,319,4.96421,731127,189101
202425,Academic year,National,E92000001,England,Special,FSM eligible,Bangladeshi,1101,393461,56047,14.24461,520,47.22979,63,5.72207,183441,45326
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Bangladeshi,1421,507740,59933,11.80388,562,39.54961,42,2.95567,200291,44366
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Bangladeshi,7,182,112,61.53846,4,57.14286,4,57.14286,141,112
202425,Academic year,National,E92000001,England,Special,Total,Bangladeshi,2529,901383,116092,12.87932,1086,42.94187,109,4.31,383873,89804
202425,Academic year,National,E92000001,England,Special,FSM eligible,Caribbean,954,332415,40982,12.32857,363,38.05031,51,5.34591,122694,31900
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Caribbean,578,203440,21081,10.36227,175,30.27682,23,3.97924,58600,14973
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Caribbean,5,74,16,21.62162,3,60,2,40,42,16
202425,Academic year,National,E92000001,England,Special,Total,Caribbean,1537,535929,62079,11.58344,541,35.19844,76,4.9447,181336,46889
202425,Academic year,National,E92000001,England,Special,FSM eligible,Chinese,138,49017,3891,7.93806,23,16.66667,7,5.07246,8123,2697
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Chinese,410,144052,10340,7.17796,79,19.26829,8,1.95122,26585,6488
202425,Academic year,National,E92000001,England,Special,Total,Chinese,548,193069,14231,7.37094,102,18.61314,15,2.73723,34708,9185
202425,Academic year,National,E92000001,England,Special,FSM eligible,English / Welsh / Scottish / Northern Irish / British,50118,17646238,2701933,15.31167,21027,41.95499,4456,8.89102,7203148,2232474
202425,Academic year,National,E92000001,England,Special,FSM not eligible,English / Welsh / Scottish / Northern Irish / British,48352,17163337,1825205,10.63432,13181,27.26051,2661,5.50339,4464994,1316630
202425,Academic year,National,E92000001,England,Special,FSM unclassified,English / Welsh / Scottish / Northern Irish / British,466,11588,6620,57.12806,278,59.65665,242,51.93133,8510,6582
202425,Academic year,National,E92000001,England,Special,Total,English / Welsh / Scottish / Northern Irish / British,98936,34821163,4533758,13.02012,34486,34.85688,7359,7.43814,11676652,3555686
202425,Academic year,National,E92000001,England,Special,FSM eligible,Gypsy Roma,362,124778,32142,25.75935,239,66.0221,69,19.06077,81130,29918
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Gypsy Roma,168,57753,10679,18.49081,94,55.95238,18,10.71429,32086,9479
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Gypsy Roma,5,103,95,92.23301,4,80,4,80,95,95
202425,Academic year,National,E92000001,England,Special,Total,Gypsy Roma,535,182634,42916,23.49836,337,62.99065,91,17.00935,113311,39492
202425,Academic year,National,E92000001,England,Special,FSM eligible,Indian,500,179250,19674,10.97573,178,35.6,12,2.4,63827,14407
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Indian,2533,907223,88832,9.79164,760,30.00395,73,2.88196,266676,61142
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Indian,20,743,357,48.04845,14,70,9,45,596,354
202425,Academic year,National,E92000001,England,Special,Total,Indian,3053,1087216,108863,10.01301,952,31.18244,94,3.07894,331099,75903
202425,Academic year,National,E92000001,England,Special,FSM eligible,Irish,172,60159,12685,21.08579,102,59.30233,23,13.37209,34678,11490
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Irish,145,51898,6742,12.99087,47,32.41379,10,6.89655,16028,5188
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Irish,2,34,30,88.23529,1,50,1,50,30,30
202425,Academic year,National,E92000001,England,Special,Total,Irish,319,112091,19457,17.35822,150,47.02194,34,10.65831,50736,16708
202425,Academic year,National,E92000001,England,Special,FSM eligible,Irish Traveller,142,48146,14502,30.12088,109,76.76056,36,25.35211,36048,13825
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Irish Traveller,47,16337,3799,23.25396,31,65.95745,6,12.76596,10351,3534
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Irish Traveller,4,52,46,88.46154,2,50,2,50,46,46
202425,Academic year,National,E92000001,England,Special,Total,Irish Traveller,193,64535,18347,28.42953,142,73.57513,44,22.79793,46445,17405
202425,Academic year,National,E92000001,England,Special,FSM eligible,Pakistani,2352,825089,118778,14.39578,1063,45.19558,137,5.82483,369680,95343
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Pakistani,3679,1301354,185079,14.22203,1564,42.51155,225,6.11579,546125,146482
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Pakistani,34,772,348,45.07772,16,47.05882,13,38.23529,452,348
202425,Academic year,National,E92000001,England,Special,Total,Pakistani,6065,2127215,304205,14.30062,2643,43.57791,375,6.18302,916257,242173
202425,Academic year,National,E92000001,England,Special,FSM eligible,Unclassified,1362,440840,74983,17.00912,660,48.45815,156,11.45374,201441,63978
202425,Academic year,National,E92000001,England,Special,FSM not eligible,Unclassified,1648,508066,82723,16.28194,712,43.20388,220,13.34951,198301,69418
202425,Academic year,National,E92000001,England,Special,FSM unclassified,Unclassified,80,1381,764,55.32223,28,35,23,28.75,1035,762
202425,Academic year,National,E92000001,England,Special,Total,Unclassified,3090,950287,158470,16.67601,1400,45.30744,399,12.91262,400777,134158
202425,Academic year,National,E92000001,England,Special,FSM eligible,White and Asian,825,291197,42446,14.57639,364,44.12121,60,7.27273,125466,35447
202425,Academic year,National,E92000001,England,Special,FSM not eligible,White and Asian,1185,419371,44446,10.59825,329,27.76371,66,5.56962,110812,32068
202425,Academic year,National,E92000001,England,Special,FSM unclassified,White and Asian,6,146,98,67.12329,3,50,2,33.33333,132,98
